,UDP,BE,MDP/CDE,PCP,PEV,L,UEDS,PS,ASDI,PAN,Ind,PSN,PRD,PPD/PSD,IL,CDS/PP,ADIM,PPM,CH
1975,1,,5,30,,,,116,,,,,,81,,16,1,,
1976,1,,,40,,,,107,,,,,,73,,42,,,
1977,1,,,40,,,,107,,,,,,73,,42,,,
1978,1,,,40,,,,107,,,,,,73,,42,,,
1979,1,,,40,,,,107,32,,,,,41,,42,,,
1980,1,,3,44,,,,74,,,,,,80,,43,,5,
1981,1,,2,39,,,4,66,4,,,,,82,,46,,6,
1982,1,,2,39,,,4,66,4,,,,,82,,46,,6,
1983,,,3,41,,,4,94,3,,,,,75,,30,,,
1984,,,3,41,,,4,94,3,,,,,75,,30,,,
1985,,,3,35,,,,57,,,,,45,88,,22,,,
1986,,,3,35,,,,57,,,,,45,88,,22,,,
1987,,,,29,2,,,60,,,,,7,148,,4,,,
1988,,,,29,2,,,60,,,,,7,148,,4,,,
1989,,,,29,2,,,60,,,,,7,148,,4,,,
1990,,,,29,2,,,60,,,,,7,148,,4,,,
1991,,,,15,2,,,72,,,,1,,135,,5,,,
1992,,,,15,2,,,72,,,,1,,135,,5,,,
1993,,,,15,2,,,72,,,,1,,135,,5,,,
1994,,,,15,2,,,72,,,,1,,135,,5,,,
1995,,,,13,2,,,112,,,,,,88,,15,,,
1996,,,,13,2,,,112,,,,,,88,,15,,,
1997,,,,13,2,,,112,,,,,,88,,15,,,
1998,,,,13,2,,,112,,,,,,88,,15,,,
1999,,2,,15,2,,,115,,,,,,81,,15,,,
2000,,2,,15,2,,,115,,,,,,81,,15,,,
2001,,2,,15,2,,,115,,,,,,81,,15,,,
2002,,3,,10,2,,,96,,,,,,105,,14,,,
2003,,3,,10,2,,,96,,,,,,105,,14,,,
2004,,3,,10,2,,,96,,,,,,105,,14,,,
2005,,8,,12,2,,,121,,,,,,75,,12,,,
2006,,8,,12,2,,,121,,,,,,75,,12,,,
2007,,8,,12,2,,,121,,,,,,75,,12,,,
2008,,8,,12,2,,,121,,,,,,75,,12,,,
2009,,16,,13,2,,,97,,,,,,81,,21,,,
2010,,16,,13,2,,,97,,,,,,81,,21,,,
2011,,8,,14,2,,,74,,,,,,108,,24,,,
2012,,8,,14,2,,,74,,,,,,108,,24,,,
2013,,8,,14,2,,,74,,,,,,108,,24,,,
2014,,8,,14,2,,,74,,,,,,108,,24,,,
2015,,19,,15,2,,,86,,1,,,,89,,18,,,
2016,,19,,15,2,,,86,,1,,,,89,,18,,,
2017,,19,,15,2,,,86,,1,,,,89,,18,,,
2018,,19,,15,2,,,86,,1,,,,89,,18,,,
2019,,19,,10,2,1,,108,,4,,,,79,1,5,,,1
2020,,19,,10,2,,,108,,3,2,,,79,1,5,,,1
